"State, Barrels of Craft Beer Produced Per Year "
"Alabama,61042"
"Alaska,207369"
"Arizona,147255"
"Arkansas,35846"
"California,3295221"
"Colorado,1429130"
"Connecticut,129825"
"Delaware,249733"
"DC,30201"
"Florida,1255112"
"Georgia,392002"
"Hawaii,48638"
"Idaho,71334"
"Illinois,337582"
"Indiana,225801"
"Iowa,61232"
"Kansas,51542"
"Kentucky,102751"
"Louisiana,216715"
"Maine,316953"
"Maryland,282593"
"Massachusetts,611341"
"Michigan,846029"
"Minnesota,609415"
"Mississippi,28876"
"Missouri,368857"
"Montana,179632"
"Nebraska,46805"
"Nevada,52828"
"New Hampshire,100164"
"New Jersey,114416"
"New Mexico,111237"
"New York,1000785"
"North Carolina,1269402"
"North Dakota,11353"
"Ohio,1373041"
"Oklahoma,47847"
"Oregon,1149150"
"Pennsylvania,3905620"
"Rhode Island,27075"
"South Carolina,101194"
"South Dakota,10029"
"Tennessee,250247"
"Texas,1165579"
"Utah,199220"
"Vermont,295717"
"Virginia,257645"
"Washington,467270"
"West Virginia,14682"
"Wisconsin,974538"
"Wyoming,31357"
