Per capita real GDP by state (chained 2009 dollars),,,,,,,,,,,,,,,,,,,,,
Levels ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
All industry total,,,,,,,,,,,,,,,,,,,,,
Fips,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,United States,40781,42045,43513,44714,44689,45068,45831,47010,48062,48880,49126,48401,46680,47287,47595,48173,48538,49339,50323,50708
1000,Alabama,31398,32164,33106,33284,33312,34068,34855,36702,37578,37735,37522,36976,35376,35913,36201,36425,36660,36455,36911,37402
2000,Alaska,61797,59504,58609,57184,58547,60101,59008,60137,61125,64349,67228,67527,72204,69564,70573,73478,69700,67188,67302,63317
4000,Arizona,34434,36311,38300,39185,39170,39323,40769,41063,43018,44086,44168,41800,38232,37935,38257,38559,38303,38450,38647,38985
5000,Arkansas,30435,30513,31877,31834,31685,32514,33678,34936,35649,35803,35205,34957,33837,34671,35146,34965,35865,36274,36338,36524
6000,California,41345,43098,45541,48223,47216,47880,49501,51520,53320,54842,55154,54454,51733,51871,52099,52974,53855,55598,57596,59117
8000,Colorado,43558,46692,49040,51524,51113,50870,50743,50083,51473,51515,52094,51651,49731,49254,49285,49639,50475,52064,52858,52567
9000,Connecticut,54740,56416,57724,61355,61872,61233,61419,65034,66032,67458,70096,68777,65574,64906,63638,63502,62550,62171,63464,63636
10000,Delaware,57306,61729,66794,68992,71155,67853,67956,69500,67525,67857,66344,62535,64313,62837,63793,62174,60719,63368,64516,64054
11000,District of Columbia,131417,134065,138460,138628,144598,148686,152623,160065,163100,164366,167668,170687,166178,168030,166870,163274,159497,159745,159881,160643
12000,Florida,35372,36773,37913,38860,39445,40254,40983,41736,43326,43926,43506,41241,38695,38604,37876,37705,38023,38477,39289,39506
13000,Georgia,40873,42737,44677,45447,45181,44771,45453,46599,47610,47013,46374,44239,42052,42029,42140,42191,42500,43465,44299,45140
15000,Hawaii,43832,42562,43398,44260,43778,44658,46437,48373,50145,50631,51245,50833,48549,49418,49331,49513,49539,49716,50994,51819
16000,Idaho,28780,29660,31920,34851,33390,33638,34034,34665,35895,36931,37080,36691,34664,34620,34270,34094,34748,35103,35738,36056
17000,Illinois,45435,46319,47665,49145,48849,48918,49495,50479,51237,52486,52856,51406,49859,50304,51198,52172,51963,52966,53729,54404
18000,Indiana,37285,39273,40222,41205,40138,40969,42099,43143,42826,43279,44145,43515,40572,42996,43058,43064,43866,44784,45012,45977
19000,Iowa,37319,37386,37971,39747,38988,40072,41665,44605,45554,45908,47504,46413,45195,45884,46523,48001,48002,49566,51305,51912
20000,Kansas,37497,38467,39206,39923,39745,40169,40944,40748,41736,43593,45313,46050,43770,44243,45476,45514,45470,46269,46658,46217
21000,Kentucky,35264,35980,36847,35513,35497,36161,36731,37463,38205,38856,38159,37875,36209,37579,37926,38052,38247,38334,38610,38950
22000,Louisiana,40733,41518,42192,40679,41302,41756,43275,44706,47004,49164,46878,46578,46949,48599,45712,45482,43725,44453,44503,44451
23000,Maine,32967,33892,35300,36503,36995,37584,38136,39089,38961,39288,38946,38508,37910,38352,37780,37705,37477,38055,38415,38956
24000,Maryland,41966,43200,44507,45619,46792,47714,48471,50547,51960,52697,52646,52877,52515,53675,54209,54018,53765,54108,54908,56070
25000,Massachusetts,47182,48760,50987,54736,55114,55234,56380,57699,58776,59706,60955,60723,59178,60808,61769,62456,61882,62571,64592,65281
26000,Michigan,39408,39834,41764,42225,40883,41907,42581,42384,42919,42206,41925,39863,36676,38763,39757,40463,40993,41566,42778,43665
27000,Minnesota,42631,44204,45258,47577,47177,47944,49769,51256,52246,51598,51351,51234,48884,50148,50875,51272,51999,53105,53634,54414
28000,Mississippi,28265,28714,29257,29166,28856,29056,30139,30509,30813,31513,32041,33128,31658,31688,31167,31786,31923,31613,31700,32102
29000,Missouri,39677,40292,41051,41920,41346,41421,42043,42643,42806,42792,42561,43118,42012,42204,41598,41926,42487,42483,42995,43004
30000,Montana,29984,31290,31395,31899,32272,32851,33848,34870,36120,36769,38063,37636,36667,37733,38542,38537,38476,39174,39725,39763
31000,Nebraska,39369,39830,40474,41761,42227,42746,44904,45488,46062,47056,47501,47770,47973,49569,51360,50631,51565,53101,53859,53949
32000,Nevada,48066,48073,49517,49607,48733,48489,49271,52310,54790,54797,52818,49286,44774,44589,44555,43382,43075,43067,43803,43557
33000,New Hampshire,39557,41521,42172,44460,44540,45311,46621,47472,48357,48857,48618,47842,47265,48388,48504,48652,48871,49544,50781,51411
34000,New Jersey,49643,50347,51571,53701,54000,54842,55897,56261,56768,57666,57860,57784,55067,55023,54302,55161,55750,55677,56241,56565
35000,New Mexico,36297,35684,37395,37773,37915,38421,39578,41558,41193,41206,40694,41207,40670,40297,40167,40094,39659,40814,41509,41559
36000,New York,49045,50064,52368,53827,55375,55039,54756,56259,58502,59961,60018,58532,59481,61267,61185,62841,62444,63372,64573,64810
37000,North Carolina,39330,40363,41811,42193,42388,42443,42871,43866,45042,46408,45440,45567,43160,43141,43223,42659,42945,43442,44172,44511
38000,North Dakota,31785,33475,33710,35067,35939,37893,40213,40099,41272,42762,44385,48379,48858,52185,57066,68105,67651,70986,67632,64136
39000,Ohio,39635,41267,42013,42678,41941,42818,43445,44434,44684,44532,44399,43548,41593,42667,44192,44896,45254,46662,47146,47633
40000,Oklahoma,32588,32814,33045,34015,35162,35316,35780,36634,37662,39391,39716,40048,38640,38303,39961,41861,43288,45414,46447,44356
41000,Oregon,33967,35256,35552,38193,37161,37669,38870,42196,42558,45752,46504,48508,47530,49601,51266,49395,48094,48466,50058,51066
42000,Pennsylvania,38759,39924,41016,41857,42458,42756,43553,44585,45035,45021,46330,46862,45312,46387,46872,47540,48278,49214,50357,50665
44000,Rhode Island,38025,39140,40034,41395,41989,43041,44625,46310,47176,48259,47137,45746,45280,46332,46010,46188,46356,46723,47541,47739
45000,South Carolina,34069,34734,35728,36070,35902,36341,37283,37124,37397,37326,37724,36834,34955,35126,35609,35346,35701,36301,36917,37075
46000,South Dakota,30784,32443,33574,35601,36327,40062,40909,42046,42762,42825,44017,45516,45457,45605,47972,46965,46869,46874,47894,47808
47000,Tennessee,36910,38257,38930,38892,38631,39514,40463,41777,41868,42177,41172,40949,39096,39370,40193,41091,41487,41875,42803,43688
48000,Texas,41366,43009,43825,44432,44784,44661,44330,45691,45966,47595,48954,48282,47034,47417,48354,50266,52018,52875,54134,53129
49000,Utah,35533,36974,38084,38695,38849,38764,39094,40089,41657,44004,45293,43375,41563,41500,41992,41929,42267,43145,44174,44893
50000,Vermont,32725,33514,35087,36622,37618,38541,39886,41165,41588,41754,41472,41764,40855,42170,43124,43042,42914,43120,43571,43984
51000,Virginia,43069,44745,46223,47313,48194,47962,49191,50400,52305,52866,52657,51985,51389,51946,51754,51546,51106,50879,51667,51643
53000,Washington,45753,47712,50591,50063,48408,48855,49149,49407,51956,52900,55348,54939,52264,52679,52500,53439,54161,55197,56407,57727
54000,West Virginia,30445,30978,32208,32144,32263,32506,32396,32862,33628,34009,33892,34679,34564,35368,36084,35509,35755,36059,36461,36244
55000,Wisconsin,38663,39695,41053,41911,42078,42694,43568,44455,45131,45515,45464,44622,43215,44126,44906,45382,45845,46423,47325,47833
56000,Wyoming,46585,47652,49380,50814,53656,53921,54930,55848,57642,63428,65471,69182,66320,64603,63985,60777,60770,60900,60979,60004
91000,New England,45725,47235,48898,51981,52414,52547,53454,55270,56153,57086,58158,57544,55896,56771,56886,57196,56721,57099,58578,59079
92000,Mideast,46748,47850,49617,51004,52104,52287,52692,53996,55279,56133,56542,56068,55507,56662,56728,57660,57721,58443,59472,59870
93000,Great Lakes,40749,41888,43165,44071,43379,44033,44752,45470,45894,46152,46279,45045,42881,44173,45116,45767,46077,47021,47745,48431
94000,Plains,39071,39970,40772,42243,41945,42656,43961,45031,45733,46013,46501,46794,45399,46209,46921,47634,48068,48975,49582,49706
95000,Southeast,36722,37896,39106,39452,39682,40080,40912,41901,43067,43586,43028,42092,40346,40674,40476,40421,40539,40917,41557,41895
96000,Southwest,38887,40283,41303,41996,42373,42371,42519,43687,44282,45743,46684,45914,44324,44490,45356,46909,48198,49099,50149,49342
97000,Rocky Mountain,38243,40390,42232,44134,43966,43937,44133,44273,45662,46756,47587,47019,45170,44936,45066,45025,45585,46655,47437,47481
98000,Far West,41901,43467,45684,47786,46744,47346,48705,50640,52439,53932,54469,53881,51328,51610,51881,52478,53032,54388,56134,57398
Legend / Footnotes:,,,,,,,,,,,,,,,,,,,,,
Note-- NAICS Industry detail is based on the 2007 North American Industry Classification System (NAICS).,,,,,,,,,,,,,,,,,,,,,
Note-- Per capita real GDP statistics for 2010-2016 reflect Census Bureau midyear population estimates available as of December 2016.,,,,,,,,,,,,,,,,,,,,,
"Last updated: November 21, 2017 -- revised statistics for 2014-2016.",,,,,,,,,,,,,,,,,,,,,
